checkpoint,episodes,success_rate,collision_rate,timeout_rate,unstable_rate,out_of_bounds_rate,mean_terminal_goal_distance,mean_terminal_speed,mean_terminal_obstacle_clearance,mean_terminal_x,mean_terminal_y,mean_episode_return,mean_episode_length,mean_path_length,mean_min_goal_distance,mean_goal_distance,mean_speed,mean_min_obstacle_clearance,mean_max_speed,success_mean_max_speed,collision_mean_max_speed,success_mean_min_obstacle_clearance,collision_mean_min_obstacle_clearance,success_mean_episode_length,collision_mean_episode_length,collision_mean_terminal_x,collision_mean_terminal_y,termination_counts
0,10,0.0,0.0,1.0,0.0,0.0,10.487943649291992,0.015434026718139648,3.9486300945281982,1.169532299041748,0.041252098977565765,-0.9980388083204161,1500.0,1.188091130607063,10.487943649291992,10.877770903905233,0.019808570129641646,3.9486300945281982,0.034419190138578415,nan,nan,nan,nan,nan,nan,nan,nan,"{""success"": 0, ""collision"": 0, ""timeout"": 10, ""unstable"": 0, ""out_of_bounds"": 0}"
50,10,0.0,0.0,1.0,0.0,0.0,5.433253765106201,0.002650217153131962,0.860419750213623,4.600194454193115,3.7618908882141113,8.331774555066659,1500.0,8.941978639400077,4.989264488220215,6.090599084854126,0.14971153297415002,0.7969273328781128,0.7657783627510071,nan,nan,nan,nan,nan,nan,nan,nan,"{""success"": 0, ""collision"": 0, ""timeout"": 10, ""unstable"": 0, ""out_of_bounds"": 0}"
100,10,0.0,1.0,0.0,0.0,0.0,7.287915229797363,0.2681378424167633,0.3998908996582031,4.600109100341797,1.5537256002426147,5.6289345759141725,200.0,5.206896265131945,7.287915229797363,9.969943604469302,0.6501438098319341,0.3998908996582031,1.217668056488037,nan,1.217668056488037,nan,0.3998908996582031,nan,200.0,4.600109100341797,1.5537256002426147,"{""success"": 0, ""collision"": 10, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
150,10,0.0,1.0,0.0,0.0,0.0,4.220675945281982,0.21677672863006592,0.39999961853027344,5.499178886413574,4.600000381469727,8.393626996286912,305.0,7.952387602861563,4.220675945281982,8.435807576726694,0.6527038599082008,0.39999961853027344,1.0312012434005737,nan,1.0312012434005737,nan,0.39999961853027344,nan,305.0,5.499178886413574,4.600000381469727,"{""success"": 0, ""collision"": 10, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
200,10,0.0,1.0,0.0,0.0,0.0,2.9310967922210693,0.18143141269683838,0.3999948501586914,8.600005149841309,5.130971908569336,12.068852187716402,516.0,11.777178167110833,2.9310967922210693,6.507389073686082,0.5708255461862045,0.3999948501586914,1.1115612983703613,nan,1.1115612983703613,nan,0.3999948501586914,nan,516.0,8.600005149841309,5.130971908569336,"{""success"": 0, ""collision"": 10, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
250,10,0.0,1.0,0.0,0.0,0.0,2.819157600402832,0.14575712382793427,0.3999919891357422,7.399991989135742,5.2454328536987305,11.525617658153351,495.0,10.855543685567682,2.819157600402832,6.554773226651278,0.5491162406116008,0.3999919891357422,1.0844275951385498,nan,1.0844275951385498,nan,0.3999919891357422,nan,495.0,7.399991989135742,5.2454328536987305,"{""success"": 0, ""collision"": 10, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
300,10,0.0,1.0,0.0,0.0,0.0,3.804609537124634,0.244070366024971,0.3999958038330078,6.292638778686523,4.600004196166992,9.449464372039074,440.0,9.276295072522771,3.7974016666412354,7.075610458850861,0.5277536622761876,0.3999958038330078,1.086540937423706,nan,1.086540937423706,nan,0.3999958038330078,nan,440.0,6.292638778686523,4.600004196166992,"{""success"": 0, ""collision"": 10, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
350,10,0.0,1.0,0.0,0.0,0.0,3.649440050125122,0.32133179903030396,0.39999818801879883,6.673943996429443,4.600001811981201,10.649974924715934,321.0,9.063118585247139,3.649440050125122,8.126709822182345,0.7065317661819162,0.39999818801879883,1.1548627614974976,nan,1.1548627614974976,nan,0.39999818801879883,nan,321.0,6.673943996429443,4.600001811981201,"{""success"": 0, ""collision"": 10, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
400,10,0.0,1.0,0.0,0.0,0.0,3.4029510021209717,0.1139126718044281,0.39999741315841675,7.243041038513184,4.68230676651001,10.683653515687183,437.0,9.979442168383684,3.4029510021209717,6.998158361600792,0.5711995787472086,0.39999741315841675,1.1203855276107788,nan,1.1203855276107788,nan,0.39999741315841675,nan,437.0,7.243041038513184,4.68230676651001,"{""success"": 0, ""collision"": 10, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
450,10,0.0,1.0,0.0,0.0,0.0,1.3432992696762085,0.20226529240608215,0.3999929428100586,8.600007057189941,6.798149585723877,14.595701071120857,558.0,12.763684991667105,1.3432992696762085,6.073041378810841,0.5724917098710407,0.3999929428100586,1.1342378854751587,nan,1.1342378854751587,nan,0.3999929428100586,nan,558.0,8.600007057189941,6.798149585723877,"{""success"": 0, ""collision"": 10, ""timeout"": 0, ""unstable"": 0, ""out_of_bounds"": 0}"
