step,time_s,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,root_vel_world_x,root_vel_world_y,root_vel_world_z,root_ang_vel_world_x,root_ang_vel_world_y,root_ang_vel_world_z,base_lin_vel_body_x,base_lin_vel_body_y,base_lin_vel_body_z,base_ang_vel_body_x,base_ang_vel_body_y,base_ang_vel_body_z,base_euler_roll,base_euler_pitch,base_euler_yaw,dof_pos_1,dof_pos_2,dof_vel_1,dof_vel_2,policy_action_1,policy_action_2,output_action_1,output_action_2,torque_1,torque_2,command_1,command_2,command_3,goal_dist,obstacle_clearance,contact_norm_base_link,contact_norm_link1,contact_norm_link2,done,success,collision,timeout,unstable,out_of_bounds,terminal_x,terminal_y,terminal_goal_distance,terminal_speed,terminal_clearance
10,0.3999999910593033,0.00028569376,-0.0009026758,0.40000784,0.0013787248,-0.0079412665,-4.0035007e-05,0.9999675,0.010307706,-0.047231846,-0.00010613075,0.10726151,-0.052589096,-0.0015616512,0.010309537,-0.04723136,-0.0001396201,0.10722854,-0.05258696,-0.0031200154,0.0027583472,-0.015882574,-0.00010197792,0.017725604,0.028775033,0.12302944,-0.06356514,4.51762,-0.039807744,0.19999997,0.021055497,4.1067495,-0.025355816,8.0,8.0,0.0,11.3141450881958,5.09807825088501,0.0,1272.0924072265625,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
11,0.4399999901652336,0.0009043314,-0.0031868583,0.40000904,0.004240749,-0.008681667,-0.00011023352,0.99995327,0.015976861,-0.061685953,-0.00013750549,0.1378903,-0.036996193,-0.002668728,0.015990201,-0.061682533,0.00010815345,0.13783401,-0.036997247,-0.0047487835,0.008484395,-0.017362459,-0.0002941346,0.020981634,0.024570817,0.15128347,-0.13489065,4.6485305,-0.20583118,0.21999997,-0.018944502,4.9096866,-0.19469833,8.0,8.0,0.0,11.315322875976562,5.095717430114746,0.0,1274.0240478515625,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
12,0.47999998927116394,0.00178623,-0.0058875764,0.40001038,0.007608598,-0.009029692,-0.00020712169,0.9999302,0.022657523,-0.07089331,-0.0001539898,0.16192976,-0.017745513,-0.003721977,0.022690155,-0.07088116,0.0005152861,0.1618459,-0.01775529,-0.0063756444,0.015222943,-0.018055953,-0.000551711,0.024104627,0.018163014,0.14477144,-0.18690759,4.587468,-0.13433851,0.23999996,-0.0589445,5.6543536,-2.8242016,8.0,8.0,0.0,11.316610336303711,5.092895984649658,0.0,1275.5992431640625,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
13,0.5199999883770943,0.0029178145,-0.008253368,0.4000125,0.010871761,-0.009105236,-0.0002908004,0.9998994,0.028564023,-0.0645984,8.704705e-05,0.09669662,-0.0071918247,-0.0026623206,0.028611211,-0.064570256,0.0009708328,0.09663771,-0.007210926,-0.004266253,0.02175195,-0.018203322,-0.00077965145,0.027852364,0.015577272,0.17637402,-0.12399361,4.595977,-0.01973389,0.25999996,-0.018944502,7.156343,16.458038,8.0,8.0,0.0,11.317483901977539,5.090353965759277,0.0,1274.361083984375,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
14,0.5599999874830246,0.004309206,-0.010175984,0.4000086,0.013171678,-0.008936575,-0.00034175513,0.99987316,0.03638324,-0.048577446,-1.1982418e-05,0.0928561,0.00784617,-0.0012469848,0.03642182,-0.04854457,0.00061672955,0.09281171,0.0078521995,-0.0031132288,0.026353378,-0.01786283,-0.00091898977,0.031143526,0.01671595,0.06093076,0.016067404,4.619982,0.029499188,0.27999997,0.014749594,8.125332,5.4695807,8.0,8.0,0.0,11.317861557006836,5.088196277618408,0.0,1272.44873046875,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
15,0.5999999865889549,0.0059005585,-0.0121404985,0.4000077,0.015625734,-0.008894523,-0.0004091017,0.99983823,0.04110385,-0.050007496,-0.00012549426,0.124196194,0.001892592,-0.002489954,0.041149914,-0.04996478,0.00070517213,0.12413017,0.0018809245,-0.0047580292,0.031263724,-0.017774317,-0.0010962113,0.035016343,0.016187336,0.100991696,-0.03162372,4.6144724,-0.09598671,0.29999998,-0.025250405,7.1764264,-13.176554,8.0,8.0,0.0,11.318127632141113,5.085958957672119,0.0,1274.41845703125,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
16,0.6399999856948853,0.007697744,-0.013912661,0.4000084,0.017826784,-0.008916922,-0.00047517836,0.9998012,0.046533033,-0.044268306,-2.7793552e-05,0.09232831,-0.0009680562,-0.0021995446,0.046581257,-0.044211723,0.00071937643,0.092275634,-0.0009874891,-0.0038111026,0.03566818,-0.0178143,-0.0012682895,0.039524898,0.015716145,0.09318805,-0.025882976,4.632969,-0.001463458,0.32,-0.000731729,7.5652065,-1.7511482,8.0,8.0,0.0,11.318113327026367,5.083869457244873,0.0,1273.5447998046875,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
17,0.6799999848008156,0.009688188,-0.015136673,0.40000772,0.019321265,-0.009104616,-0.0005117813,0.9997717,0.051393878,-0.029497603,-1.8269493e-05,0.05524364,-0.0098381005,-0.0010287643,0.05142554,-0.029441746,0.00018442859,0.055229247,-0.009833399,-0.0016546416,0.038659047,-0.018186301,-0.0013753823,0.044793088,0.018317437,0.10777778,0.059536546,4.6057086,0.17832547,0.34,0.03926827,8.090628,1.6957164,8.0,8.0,0.0,11.317574501037598,5.08228063583374,0.0,1272.2073974609375,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
18,0.7199999839067459,0.011877711,-0.016192775,0.4000075,0.020654835,-0.009440827,-0.000552975,0.99974185,0.05631548,-0.025345277,-0.00014512715,0.06992807,-0.016139774,-0.0018994637,0.056340553,-0.025289316,-0.00016284874,0.06990389,-0.01615442,-0.0025527305,0.041328553,-0.018855054,-0.0014959284,0.050874915,0.020037593,0.14284746,0.037681594,4.631854,0.009101756,0.36,0.004550878,7.288824,-12.443066,8.0,8.0,0.0,11.316777229309082,5.0808186531066895,0.0,1273.567138671875,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
19,0.7599999830126762,0.014287876,-0.017133318,0.40000767,0.02182587,-0.009825522,-0.0006020356,0.9997133,0.061784513,-0.022083567,-9.875407e-05,0.054671317,-0.018672938,-0.0022746418,0.061806645,-0.022018947,-0.0003505981,0.054646548,-0.01871205,-0.00253286,0.043673348,-0.019620389,-0.0016329424,0.057645366,0.020224923,0.16865619,0.0015781745,4.598033,-0.004592411,0.38000003,-0.0022962056,7.4320645,-7.7967224,8.0,8.0,0.0,11.315742492675781,5.079428195953369,0.0,1273.4320068359375,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
20,0.7999999821186066,0.016935082,-0.01779769,0.4000076,0.02265544,-0.010211447,-0.0006455287,0.99969095,0.06779513,-0.014645339,-0.00010395586,0.03727509,-0.018484415,-0.0020959394,0.067804515,-0.014578882,-0.00082676095,0.03725695,-0.018529523,-0.0020184277,0.045335006,-0.020388745,-0.0017537136,0.06500099,0.020253927,0.18242644,0.0014696498,4.595501,-0.004578352,0.40000004,-0.002289176,7.6226416,-6.8277464,8.0,8.0,0.0,11.314345359802246,5.078263282775879,0.0,1273.0087890625,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
21,0.8399999812245369,0.019830951,-0.01829274,0.4000076,0.02328999,-0.010583237,-0.0006953508,0.9996725,0.07428087,-0.009867304,-0.0001710156,0.035327516,-0.016943378,-0.002589756,0.07427911,-0.009797895,-0.0012856232,0.035296764,-0.017013911,-0.00254631,0.046606712,-0.021128723,-0.0018836346,0.072908506,0.018815452,0.18171589,-0.031048857,4.6030097,-0.06387728,0.42000005,-0.03193864,7.8207765,-10.825091,8.0,8.0,0.0,11.312652587890625,5.076005458831787,0.0,1273.2816162109375,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
22,0.8799999803304672,0.02298077,-0.018460713,0.40000775,0.023500653,-0.010963004,-0.00073312025,0.99966335,0.080566935,-0.001097357,-0.000121341815,0.0069766142,-0.017441578,-0.0019913008,0.08054697,-0.0010252661,-0.0018383288,0.0069659012,-0.017509252,-0.0013225597,0.047030155,-0.021885917,-0.0019814982,0.08151027,0.017185438,0.20936443,-0.032058574,4.5907807,-0.048864916,0.44000006,-0.024432458,7.914331,-5.8838077,8.0,8.0,0.0,11.31054973602295,5.072882652282715,0.0,1272.4285888671875,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
23,0.9199999794363976,0.026401702,-0.018253025,0.40000758,0.023252804,-0.011297188,-0.0007538083,0.99966544,0.087618805,0.009070839,-0.0001788083,-0.009266036,-0.014324291,-0.0013832328,0.08757388,0.009138701,-0.002582221,-0.009265739,-0.014382205,-0.0005060753,0.046535704,-0.022553673,-0.002033013,0.09067857,0.015601679,0.20841193,-0.024041684,4.581033,-0.062180713,0.46000007,-0.031090356,8.0983,-7.897229,8.0,8.0,0.0,11.307991027832031,5.06956672668457,0.0,1272.161376953125,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
24,0.9599999785423279,0.030097682,-0.017660417,0.40000755,0.022522302,-0.011613292,-0.00075273373,0.9996786,0.09460525,0.019220985,-0.00018285801,-0.03264617,-0.013065373,-0.00048207355,0.0945364,0.019286117,-0.0032476687,-0.032622013,-0.013105869,0.000865775,0.04507499,-0.023187289,-0.0020286464,0.100507244,0.014021863,0.22169554,-0.019100737,4.5762444,-0.059393547,0.48000008,-0.029696774,8.243459,-6.682598,8.0,8.0,0.0,11.304964065551758,5.066055774688721,0.0,1271.9500732421875,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
25,0.9999999776482582,0.0340766,-0.016783051,0.40000767,0.021443816,-0.011911124,-0.0007404644,0.9996988,0.10195311,0.027187767,-0.0002144214,-0.038756557,-0.011658045,-0.0003775505,0.10186478,0.027252417,-0.0038106085,-0.03873127,-0.011701088,0.0010467544,0.042917665,-0.02378556,-0.0019918876,0.110988885,0.0113989,0.22036,-0.03632879,4.5686064,-0.10089438,0.50000006,-0.05044719,8.657552,-10.19492,8.0,8.0,0.0,11.301536560058594,5.062322616577148,0.0,1272.6102294921875,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
26,1.0399999767541885,0.038341407,-0.015548444,0.40000752,0.019912573,-0.012220295,-0.000702858,0.9997267,0.10900209,0.03593893,-0.00018458198,-0.07112126,-0.012125461,0.0009309849,0.10889689,0.03600317,-0.004281044,-0.07105425,-0.012144091,0.003152287,0.039853856,-0.024408342,-0.0018925717,0.122223504,0.00842396,0.2529693,-0.047507484,4.5486135,-0.095738724,0.52000004,-0.047869362,8.501019,-5.2441206,8.0,8.0,0.0,11.297656059265137,5.058379173278809,0.0,1271.77880859375,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
27,1.0799999758601189,0.042909335,-0.013782745,0.40000752,0.017710455,-0.012470164,-0.00060959754,0.99976516,0.11660935,0.049437743,-0.0001850998,-0.1056758,-0.00896989,0.0034689452,0.11648631,0.049490724,-0.004845005,-0.10554152,-0.008923486,0.0064204526,0.035446215,-0.024915459,-0.0016611296,0.13412662,0.0068982528,0.2721032,-0.007935893,4.54914,-0.052346475,0.54,-0.026173238,8.547768,-2.7114134,8.0,8.0,0.0,11.293184280395508,5.054243087768555,0.0,1271.5123291015625,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
28,1.1199999749660492,0.04778542,-0.011775644,0.40000805,0.015204677,-0.01266587,-0.0004976165,0.999804,0.12453355,0.056722343,-0.00018350845,-0.094593264,-0.006636624,0.003150294,0.12441056,0.05676645,-0.0050631184,-0.09447395,-0.006595416,0.0057466924,0.030430444,-0.025314346,-0.0013806416,0.14672677,0.004213638,0.27057752,-0.0212573,4.5521827,-0.107673034,0.56,-0.053836517,9.414745,-11.573902,8.0,8.0,0.0,11.288324356079102,5.049853324890137,0.0,1273.431884765625,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
29,1.1599999740719795,0.05296933,-0.0095301345,0.40000755,0.012424134,-0.012854313,-0.00036234365,0.99984,0.13205816,0.06109937,-0.00016039038,-0.13065653,-0.006182841,0.0050310153,0.1319465,0.061129984,-0.0050733685,-0.1304775,-0.006108851,0.008540986,0.024864377,-0.025698338,-0.0010443238,0.1599974,0.0006448352,0.30607504,-0.05845097,4.5405097,-0.106346995,0.58,-0.053173497,9.043631,-2.9822483,8.0,8.0,0.0,11.283079147338867,5.045209884643555,0.0,1272.3232421875,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan
